Title,ID,title,overview,release_date,runtime,budget,revenue,genres,production_companies,production_countries,spoken_languages,tagline,rating,votes
The Adventures of Tintin,17578,The Adventures of Tintin,"Intrepid young reporter, Tintin, and his loyal dog, Snowy, are thrust into a world of high adventure when they discover a ship carrying an explosive secret. As Tintin is drawn into a centuries-old mystery, Ivan Ivanovitch Sakharine suspects him of stealing a priceless treasure. Tintin and Snowy, with the help of salty, cantankerous Captain Haddock and bumbling detectives, Thompson and Thomson, travel half the world, one step ahead of their enemies, as Tintin endeavors to find the Unicorn, a sunken ship that may hold a vast fortune, but also an ancient curse.",2011-10-24,107,130000000,371940071,"['Adventure', 'Animation', 'Mystery']","['Paramount', 'Columbia Pictures', 'WingNut Films', 'Amblin Entertainment', 'Nickelodeon Movies', 'Hemisphere Media Capital', 'The Kennedy/Marshall Company', 'DreamWorks Pictures']","['New Zealand', 'United States of America']",['English'],"This year, discover how far adventure will take you.",6.875,4893
Paddington,116149,Paddington,"A young Peruvian bear travels to London in search of a new home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family.",2014-11-24,96,55000000,259207227,"['Comedy', 'Adventure', 'Family']","['Heyday Films', 'StudioCanal', 'Anton Capital Entertainment (ACE)', 'TF1 Films Production', 'Canal+', 'Ciné+', 'TF1', 'The Weinstein Company', 'Dimension Films']","['France', 'United Kingdom', 'United States of America']",['English'],The adventure begins.,7.059,3220
Megamind,38055,Megamind,"Bumbling supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",2010-10-28,96,130000000,321885765,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']","['DreamWorks Animation', 'Paramount', 'Pacific Data Images']",['United States of America'],['English'],His brain is off the chain.,6.949,6100
Finding Dory,127380,Finding Dory,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,2016-06-16,97,200000000,1028570889,"['Adventure', 'Animation', 'Comedy', 'Family']","['Pixar', 'Walt Disney Pictures']",['United States of America'],['English'],An unforgettable journey she probably won't remember.,7.043,11180
The Lego Batman Movie,324849,The Lego Batman Movie,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",2017-02-08,104,80000000,311950384,"['Animation', 'Action', 'Comedy', 'Family']","['Lin Pictures', 'Warner Bros. Animation', 'Animal Logic', 'DC Entertainment', 'Lord Miller Productions', 'Warner Bros. Pictures', 'LEGO', 'Warner Animation Group']","['Denmark', 'United States of America']",['English'],Always be yourself. Unless you can be Batman.,7.205,4427
The Secret Garden,521034,The Secret Garden,"Mary Lennox is born in India to wealthy British parents who never wanted her. When her parents suddenly die, she is sent back to England to live with her uncle. She meets her sickly cousin, and the two children find a wondrous secret garden lost in the grounds of Misselthwaite Manor.",2020-07-08,99,0,889816,"['Family', 'Fantasy', 'Drama']","['Heyday Films', 'StudioCanal']","['United Kingdom', 'France']",['English'],,6.381,515
Despicable Me 2,93456,Despicable Me 2,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,2013-06-26,98,76000000,970761885,"['Animation', 'Comedy', 'Family']","['Illumination', 'Universal Pictures']",['United States of America'],['English'],Back 2 Work,6.9,10305
Little Women,331482,Little Women,Four sisters come of age in America in the aftermath of the Civil War.,2019-12-25,135,40000000,216601214,"['Drama', 'Romance', 'History']","['Columbia Pictures', 'Pascal Pictures', 'Regency Enterprises', 'Sony Pictures']",['United States of America'],"['Français', 'English']",Own your story,7.905,5448
Alice in Wonderland,12155,Alice in Wonderland,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",2010-03-03,108,200000000,1025467110,"['Family', 'Fantasy', 'Adventure']","['Walt Disney Pictures', 'Roth Films', 'Team Todd', 'Tim Burton Productions', 'The Zanuck Company']",['United States of America'],['English'],You're invited to a very important date.,6.62,12845
Jason and the Argonauts,11533,Jason and the Argonauts,"Jason, a fearless sailor and explorer, returns to his home land of Thessaly after a long voyage to claim his rightful throne. He learns, however, that he must first find the magical Golden Fleece. To do so, he must embark on an epic quest fraught with fantastic monsters and terrible perils.",1963-06-19,104,1000000,0,"['Adventure', 'Family', 'Fantasy']","['Morningside Productions', 'Columbia Pictures']","['United Kingdom', 'United States of America']",['English'],Greatest Odyssey Of The Ages - for the first time on the screen,7.135,508
My Sister's Keeper,10024,My Sister's Keeper,"Sara and Brian live an idyllic life with their young son and daughter. But their family is rocked by sudden, heartbreaking news that forces them to make a difficult and unorthodox choice in order to save their baby girl's life. The parents' desperate decision raises both ethical and moral questions and rips away at the foundation of their relationship. Their actions ultimately set off a court case that threatens to tear the family apart, while revealing surprising truths that challenge everyone's perceptions of love and loyalty and give new meaning to the definition of healing.",2009-06-26,109,30000000,95714875,['Drama'],"['Mark Johnson Productions', 'Gran Via Productions', 'Curmudgeon Films', 'New Line Cinema']",['United States of America'],"['Hrvatski', 'English']","A tale of life, love, and letting go.",7.36,1888
One Hundred and One Dalmatians,12230,One Hundred and One Dalmatians,"When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement. In a Disney animation classic, Dalmatian Pongo is tired of his bachelor-dog life. He spies lovely Perdita and maneuvers his master, Roger, into meeting Perdita's owner, Anita. The owners fall in love and marry, keeping Pongo and Perdita together too. After Perdita gives birth to a litter of 15 puppies, Anita's old school friend Cruella De Vil wants to buy them all. Roger declines her offer, so Cruella hires the criminal Badun brothers to steal them -- so she can have a fur coat.",1961-01-25,82,4000000,85000000,"['Adventure', 'Animation', 'Comedy', 'Family']",['Walt Disney Productions'],['United States of America'],['English'],The Canine Caper of the Century,7.168,5642
Peter Pan,420808,Peter Pan & Wendy,"Wendy Darling, a young girl afraid to leave her childhood home behind, meets Peter Pan, a boy who refuses to grow up. Alongside her brothers and a tiny fairy, Tinker Bell, she travels with Peter to the magical world of Neverland. There, she encounters an evil pirate captain, Captain Hook, and embarks on a thrilling adventure that will change her life forever.",2023-04-20,106,0,0,"['Family', 'Fantasy', 'Action', 'Adventure']","['Walt Disney Pictures', 'Whitaker Entertainment']",['United States of America'],['English'],Escape to Neverland,5.9,240
Corpse Bride,3933,Corpse Bride,"Set in a 19th-century European village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.",2005-09-12,77,40000000,118133252,"['Romance', 'Fantasy', 'Animation']","['Tim Burton Productions', 'Laika Entertainment', 'Patalex Productions', 'Warner Bros. Pictures', 'Will Vinton Studios', 'Tim Burton Animation Company']",['United States of America'],['English'],There's been a grave misunderstanding.,7.514,7949
Cinderella,11224,Cinderella,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",1950-02-22,74,2900000,263591415,"['Family', 'Fantasy', 'Animation', 'Romance']",['Walt Disney Productions'],['United States of America'],['English'],The greatest love story ever told.,7.037,6051
Lady and the Tramp,10340,Lady and the Tramp,"Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Lady's home make her decide to travel with him for a while.",1955-06-22,76,4000000,36359037,"['Family', 'Animation', 'Romance']",['Walt Disney Productions'],['United States of America'],['English'],She's from the leash and license set... he's footloose and collar free!,7.107,4747
The Last Unicorn,10150,The Last Unicorn,"From a riddle-speaking butterfly, a unicorn learns that she is supposedly the last of her kind, all the others having been herded away by the Red Bull. The unicorn sets out to discover the truth behind the butterfly's words. She is eventually joined on her quest by Schmendrick, a second-rate magician, and Molly Grue, a now middle-aged woman who dreamed all her life of seeing a unicorn. Their journey leads them far from home, all the way to the castle of King Haggard.",1982-11-19,92,0,6455530,"['Fantasy', 'Animation', 'Family', 'Adventure']","['Rankin/Bass Productions', 'ITC Entertainment']","['United Kingdom', 'United States of America']","['English', 'Deutsch']",There's Magic in Believing!,7.156,404
Eight Below,9036,Eight Below,"In the Antarctic, after an expedition with Dr. Davis McClaren, the sled dog trainer Jerry Shepherd has to leave the polar base with his colleagues due to the proximity of a heavy snow storm. He ties his dogs to be rescued after, but the mission is called-off and the dogs are left alone at their own fortune. For six months, Jerry tries to find a sponsor for a rescue mission.",2006-02-17,120,40000000,120455994,"['Adventure', 'Drama', 'Family']","['Walt Disney Pictures', 'Spyglass Entertainment', 'Mandeville Films', 'Winking Productions', 'Vertigo Entertainment', 'The Kennedy/Marshall Company']",['United States of America'],['English'],"The Most Amazing Story Of Survival, Friendship, And Adventure Ever Told.",7.0,1539
Bambi,3170,Bambi,"Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.",1942-02-11,70,858000,267447150,"['Animation', 'Drama', 'Family']",['Walt Disney Productions'],['United States of America'],['English'],A great love story.,7.009,5083
The Brave Little Toaster,19933,The Brave Little Toaster,"A group of dated appliances, finding themselves stranded in a summer home that their family had just sold, decide to seek their young 8 year old ""master"".",1987-07-09,90,2300000,0,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family', 'Music']","['The Kushner-Locke Company', 'Hyperion Pictures', 'Walt Disney Pictures']",['United States of America'],"['English', 'Español', 'Polski']",Plug into the adventure!,6.924,362
A Street Cat Named Bob,404378,A Street Cat Named Bob,"James Bowen, a homeless busker and recovering drug addict, has his life transformed when he meets a stray ginger cat.",2016-11-04,103,8000000,17900000,"['Family', 'Drama']","['Iris Productions', 'Shooting Script Films', 'Prescience', 'Stage 6 Films']","['United Kingdom', 'United States of America']",['English'],Sometimes it takes nine lives to save one,7.875,1209
Heisei tanuki gassen ponpoko,15283,Pom Poko,"The Raccoons of the Tama Hills are being forced from their homes by the rapid development of houses and shopping malls. As it becomes harder to find food and shelter, they decide to band together and fight back. The Raccoons practice and perfect the ancient art of transformation until they are even able to appear as humans in hilarious circumstances.",1994-07-16,119,0,0,"['Adventure', 'Animation', 'Fantasy']",['Studio Ghibli'],['Japan'],['日本語'],A Fantastic Tale Of Survival,7.148,859
Shaun the Sheep Movie,263109,Shaun the Sheep Movie,"When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.",2015-02-05,85,25000000,106209378,"['Family', 'Animation', 'Comedy', 'Adventure']","['Aardman', 'Anton Capital Entertainment (ACE)', 'StudioCanal', 'Lionsgate']","['France', 'United Kingdom', 'United States of America']",['English'],Moving on to Pastures New.,7.0,1213
Encanto,568124,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",2021-10-13,102,50000000,253000000,"['Animation', 'Comedy', 'Family', 'Fantasy']","['Walt Disney Animation Studios', 'Walt Disney Pictures']",['United States of America'],"['English', 'Español']",There's a little magic in all of us ...almost all of us.,7.642,8163
Cars,920,Cars,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",2006-06-08,117,120000000,461983149,"['Animation', 'Adventure', 'Comedy', 'Family']","['Pixar', 'Walt Disney Pictures']",['United States of America'],"['English', 'Italiano', '日本語', '']",Ahhh... it's got that new movie smell.,6.918,12548
Fantastic Beasts and Where to Find Them,259316,Fantastic Beasts and Where to Find Them,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.",2016-11-16,132,180000000,809342332,"['Fantasy', 'Adventure', 'Family']","['Heyday Films', 'Warner Bros. Pictures']","['United Kingdom', 'United States of America']",['English'],From J.K. Rowling's wizarding world.,7.337,17589
DC League of Super-Pets,539681,DC League of Super-Pets,"When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes.",2022-07-27,105,90000000,203000000,"['Animation', 'Action', 'Family', 'Comedy', 'Science Fiction']","['Warner Animation Group', 'DC Entertainment', 'Seven Bucks Productions', 'Animal Logic', 'Warner Bros. Pictures']",['United States of America'],['English'],"Sit, stay, save the world.",7.41,1214
Bridge to Terabithia,1265,Bridge to Terabithia,"Jesse Aarons trained all summer to become the fastest runner in school, so he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences, including that she's rich, he's poor, and she's a city girl, he's a country boy, the two become fast friends. Together, they create Terabithia, a land of monsters, trolls, ogres, and giants and rule as king and queen.",2007-02-15,96,60000000,137587063,"['Adventure', 'Drama', 'Family']","['Lauren Levine Productions Inc.', 'Walden Media', 'Hal Lieberman Company', 'Walt Disney Pictures']",['United States of America'],['English'],"Close your eyes, but keep your mind wide open.",7.292,4248
A Bug's Life,9487,A Bug's Life,"On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",1998-11-25,95,120000000,363258859,"['Adventure', 'Animation', 'Comedy', 'Family']","['Pixar', 'Walt Disney Pictures']",['United States of America'],['English'],An epic presentation of miniature proportions.,6.964,8321
The Prince of Egypt,9837,The Prince of Egypt,"This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world.",1998-12-16,99,70000000,218613188,"['Adventure', 'Animation', 'Drama', 'Family']","['DreamWorks Animation', 'DreamWorks Pictures']",['United States of America'],"['עִבְרִית', 'English']",The Power Is Real. The Story is Forever. The Time is Now.,7.2,3523
Monsters University,62211,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,2013-06-19,104,200000000,743559607,"['Animation', 'Family']","['Pixar', 'Walt Disney Pictures']",['United States of America'],['English'],School never looked this scary.,7.028,9666
Treasure Planet,9016,Treasure Planet,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms on their journey to find treasure.",2002-11-26,95,140000000,109578115,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']","['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],['English'],Find your place in the universe.,7.529,3677
Kung Fu Panda 2,49444,Kung Fu Panda 2,"Po is now living his dream as The Dragon Warrior, protecting the Valley of Peace alongside his friends and fellow kung fu masters, The Furious Five - Tigress, Crane, Mantis, Viper and Monkey. But Po’s new life of awesomeness is threatened by the emergence of a formidable villain, who plans to use a secret, unstoppable weapon to conquer China and destroy kung fu. It is up to Po and The Furious Five to journey across China to face this threat and vanquish it. But how can Po stop a weapon that can stop kung fu? He must look to his past and uncover the secrets of his mysterious origins; only then will he be able to unlock the strength he needs to succeed.",2011-05-25,91,150000000,665692281,"['Animation', 'Family']","['DreamWorks Animation', 'Paramount']",['United States of America'],['English'],Prepare for the Year of Awesomeness!,6.946,6149
Rango,44896,Rango,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",2011-03-02,107,135000000,245724603,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']","['Paramount', 'Nickelodeon Movies', 'GK Films', 'Blind Wink', 'Industrial Light & Magic']",['United States of America'],['English'],Heroes come in all different colors.,6.811,5776
The Croods,49519,The Croods,"The prehistoric Croods family live in a particularly dangerous moment in time. Patriarch Grug, his mate Ugga, teenage daughter Eep, son Thunk, and feisty Gran gather food by day and huddle together in a cave at night. When a more evolved caveman named Guy arrives on the scene, Grug is distrustful, but it soon becomes apparent that Guy is correct about the impending destruction of their world.",2013-03-15,98,135000000,587204668,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Comedy', 'Action']","['DreamWorks Animation', '20th Century Fox']",['United States of America'],['English'],Meet the first modern family.,6.9,6432
The Book of Life,228326,The Book of Life,"The journey of Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart. Before choosing which path to follow, he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears.",2014-10-01,95,50000000,97437106,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']","['Reel FX Creative Studios', '20th Century Fox Animation', 'Chatrone']",['United States of America'],['English'],A blast of fun.,7.527,2363
The Fox and the Hound,10948,The Fox and the Hound,"When a feisty little fox named Tod is adopted into a farm family, he quickly becomes friends with a fun and adorable hound puppy named Copper. Life is full of hilarious adventures until Copper is expected to take on his role as a hunting dog -- and the object of his search is his best friend!",1981-07-10,82,12000000,29800000,"['Adventure', 'Animation', 'Drama', 'Family']",['Walt Disney Productions'],['United States of America'],['English'],A story of two friends who didn't know they were supposed to be enemies.,7.1,2860
Christopher Robin,420814,Christopher Robin,"Christopher Robin, the boy who had countless adventures in the Hundred Acre Wood, has grown up and lost his way. Now it’s up to his spirited and loveable stuffed animals, Winnie The Pooh, Tigger, Piglet, and the rest of the gang, to rekindle their friendship and remind him of endless days of childlike wonder and make-believe, when doing nothing was the very best something.",2018-08-02,104,75000000,99138899,"['Adventure', 'Comedy', 'Family', 'Fantasy']","['Walt Disney Pictures', '2DUX²']","['United Kingdom', 'United States of America']",['English'],Don't underestimate the value of doing nothing.,7.332,2466
Spirit: Stallion of the Cimarron,9023,Spirit: Stallion of the Cimarron,"As a wild stallion travels across the frontiers of the Old West, he befriends a young human and finds true love with a mare.",2002-05-24,83,80000000,122563539,"['Western', 'Animation', 'Adventure', 'Comedy', 'Family', 'Drama']","['DreamWorks Animation', 'DreamWorks Pictures']",['United States of America'],['Català'],Leader. Hero. Legend.,7.694,4133
Sleeping Beauty,10882,Sleeping Beauty,"A beautiful princess born in a faraway kingdom is destined by a terrible curse to prick her finger on the spindle of a spinning wheel and fall into a deep sleep that can only be awakened by true love's first kiss. Determined to protect her, her parents ask three fairies to raise her in hiding. But the evil Maleficent is just as determined to seal the princess's fate.",1959-02-17,75,6000000,51600000,"['Fantasy', 'Animation', 'Romance', 'Family']",['Walt Disney Productions'],['United States of America'],['English'],Awaken to a World of Wonders!,6.945,4654
Rise of the Guardians,81188,Rise of the Guardians,"When an evil spirit known as Pitch lays down the gauntlet to take over the world, the immortal Guardians must join forces for the first time to protect the hopes, beliefs and imagination of children all over the world.",2012-11-21,97,145000000,306941670,"['Family', 'Animation', 'Fantasy', 'Action', 'Adventure']","['DreamWorks Animation', 'Paramount']",['United States of America'],"['Français', 'English']",You better believe.,7.36,6058
A Dog's Purpose,381289,A Dog's Purpose,A dog goes on quest to discover his purpose in life over the course of several lifetimes with multiple owners.,2017-01-19,100,22000000,205035819,"['Adventure', 'Comedy', 'Fantasy', 'Family', 'Drama']","['Amblin Entertainment', 'Pariah Entertainment Group', 'Walden Media', 'Reliance Entertainment', 'Amblin Partners', 'DreamWorks Pictures', 'Universal Pictures']","['Canada', 'India', 'United States of America']",['English'],Every dog happens for a reason.,7.61,2994
Wish Dragon,550205,Wish Dragon,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,2021-01-15,99,0,25860000,"['Animation', 'Family', 'Comedy', 'Fantasy']","['Sony Pictures Animation', 'Tencent Pictures', 'Base FX', 'Beijing Sparkle Roll Media Corporation', 'Flagship Entertainment Group', 'Columbia Pictures']","['China', 'United States of America']","['普通话', 'English']",Three magical wishes. One life changing adventure.,7.979,1096
"20,000 Leagues Under the Sea",173,"20,000 Leagues Under the Sea","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",1954-12-23,127,5000000,28200000,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Science Fiction', 'Action']",['Walt Disney Productions'],['United States of America'],['English'],The mightiest motion picture of them all!,7.1,737
Stan & Ollie,394741,Stan & Ollie,"With their golden era long behind them, comedy duo Stan Laurel and Oliver Hardy embark on a variety hall tour of Britain and Ireland. Despite the pressures of a hectic schedule, and with the support of their wives Lucille and Ida – a formidable double act in their own right – the pair's love of performing, as well as for each other, endures as they secure their place in the hearts of their adoring public",2018-12-28,98,10000000,24420923,"['Comedy', 'Drama']","['Fable Pictures', 'Entertainment One', 'Baby Cow Productions', 'Sonesta Films', 'BBC Film', 'Laurel and Hardy Feature Productions', 'Sony Pictures Classics', 'Entertainment One Features']","['Canada', 'United Kingdom', 'United States of America']",['English'],The untold story of the world's greatest comedy act.,6.972,933
Dumbo,11360,Dumbo,"Dumbo is a baby elephant born with over-sized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy Timothy the Mouse,  the pint-sized pachyderm learns to surmount all obstacles.",1941-10-31,64,812000,1600000,"['Animation', 'Family']",['Walt Disney Productions'],['United States of America'],['English'],The One...The Only...The FABULOUS...,6.997,4443
Secretariat,39486,Secretariat,"Housewife and mother Penny Chenery agrees to take over her ailing father's Virginia-based Meadow Stables, despite her lack of horse-racing knowledge. Against all odds, Chenery - with the help of veteran trainer Lucien Laurin - manages to navigate the male-dominated business, ultimately fostering the first Triple Crown winner in 25 years.",2010-08-20,123,35000000,60321861,['Drama'],"['Walt Disney Pictures', 'Fast Track Productions', 'Mayhem Pictures']",['United States of America'],['English'],The Impossible True Story,7.374,505
The Transformers: The Movie,1857,The Transformers: The Movie,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",1986-08-08,84,6000000,5849647,"['Animation', 'Science Fiction', 'Action', 'Adventure', 'Family']","['Hasbro', 'Marvel Productions', 'Sunbow Productions', 'De Laurentiis Entertainment Group', 'Toei Animation']","['Japan', 'United States of America']",['English'],Beyond good. Beyond evil. Beyond your wildest imagination.,7.164,422
Beauty and the Beast,10020,Beauty and the Beast,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",1991-10-22,84,25000000,424967620,"['Romance', 'Family', 'Animation', 'Fantasy']","['Walt Disney Pictures', 'Silver Screen Partners IV', 'Walt Disney Feature Animation']",['United States of America'],"['Français', 'English']",The most beautiful love story ever told.,7.733,8991
Sing,335797,Sing,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,2016-11-23,108,75000000,634151679,"['Animation', 'Comedy', 'Family', 'Music']","['Illumination', 'Universal Pictures', 'Fuji Television Network', 'dentsu']",['United States of America'],['English'],Auditions begin 2016.,7.11,7278
The Princess and the Frog,10198,The Princess and the Frog,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",2009-12-08,98,105000000,270997378,"['Romance', 'Family', 'Animation']","['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America'],"['Français', 'English']",Every love story begins with a kiss...,7.187,4888
Enchanted,4523,Enchanted,"The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",2007-11-20,107,85000000,340487652,"['Comedy', 'Family', 'Fantasy', 'Romance']","['Walt Disney Pictures', 'Josephson Entertainment', 'Andalasia Productions', 'Right Coast']",['United States of America'],['English'],This fairytale princess is about to meet a real Prince Charming.,6.802,4954
Brave,62177,Brave,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",2012-06-21,93,185000000,538983207,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']","['Walt Disney Pictures', 'Pixar']",['United States of America'],['English'],Change your fate.,7.009,12298
We Bought a Zoo,74465,We Bought a Zoo,"Benjamin has lost his wife and, in a bid to start his life over, purchases a large house that has a zoo – welcome news for his daughter, but his son is not happy about it. The zoo is in need of renovation and Benjamin sets about the work with the head keeper and the rest of the staff, but, the zoo soon runs into financial trouble.",2011-12-08,124,50000000,120081841,"['Drama', 'Comedy', 'Family']","['Dune Entertainment', 'Estrella Media', 'Vinyl Films', '20th Century Fox']",['United States of America'],['English'],A True Zoo Story,6.755,2433
Kung Fu Panda 3,140300,Kung Fu Panda 3,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",2016-01-23,95,145000000,521170825,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']","['Pearl Studio', 'DreamWorks Animation', 'China Film Group Corporation', '20th Century Fox']","['China', 'United States of America']",['English'],Grab destiny by the rice dumplings.,6.9,5137
Chicken Run,7443,Chicken Run,"The creators of Wallace & Gromit bring you an exciting and original story about a group of chickens determined to fly the coop–even if they can’t fly! It’s hardly poultry in motion when Rocky (Mel Gibson) attempts to teach Ginger and her feathered friends to fly…but, with teamwork, determination and a little bit o’ cluck, the fearless flock plots one last attempt in a spectacular bid for freedom.",2000-06-23,84,45000000,224834564,"['Animation', 'Comedy', 'Family']","['DreamWorks Animation', 'Aardman', 'Pathé', 'DreamWorks Pictures']","['United Kingdom', 'United States of America', 'France']",['English'],This ain't no chick flick. It's poultry in motion.,6.7,4347
Anastasia,9444,Anastasia,"This animated adventure spins a more optimistic twist on the long-mythicized story of the ""lost daughter"" of Russia's last czar. A wicked sorcerer places a curse on the Romanov family, and Anastasia is separated from them during their attempts to escape from a rowdy revolt seizing their palace. Years later, after growing up with amnesia in an orphanage, ""Anya"" encounters two Russian men seeking a reward offered by the Dowager Empress Marie, for the return of her missing granddaughter. They decide to travel together to visit the Empress in Paris. Will Anya finally be reunited with her remaining family and find a loving home at last?",1997-11-20,94,53000000,139804348,"['Animation', 'Family', 'Fantasy', 'Adventure']","['Fox Animation Studios', 'Fox Family Films', 'The Big Gun Project', 'Little Wolf Entertainment', '20th Century Fox']",['United States of America'],"['English', 'Pусский', 'Français']",Discover the Adventure Behind the Greatest Mystery of our Time.,7.612,4842
The AristoCats,10112,The Aristocats,"When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children—Bonfamille’s beloved family of cats—the butler plots to steal the money and kidnaps the legatees, leaving them out on a country road. All seems lost until the wily Thomas O’Malley Cat and his jazz-playing alley cats come to the aristocats’ rescue.",1970-12-24,78,4000000,55675257,"['Animation', 'Comedy', 'Family', 'Adventure']",['Walt Disney Productions'],['United States of America'],['English'],A tune-filled animated extravaganza.,7.295,4522
